year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
2046,ACCESS-ESM1-5,r1i1p1f1,ssp370,42.55,47.59,40.21,36.95,63.94,10.69,60.83,47.59
2047,ACCESS-ESM1-5,r1i1p1f1,ssp370,34.03,34.68,37.21,54.88,65.8,12.98,52.14,42.96
2048,ACCESS-ESM1-5,r1i1p1f1,ssp370,36.02,33.08,38.18,35.05,55.02,10.22,50.78,40.98
2049,ACCESS-ESM1-5,r1i1p1f1,ssp370,43.91,45.36,37.36,46.15,61.53,10.66,55.75,45.66
2050,ACCESS-ESM1-5,r1i1p1f1,ssp370,39.68,35.0,42.59,39.74,51.1,10.68,55.71,43.73
2051,ACCESS-ESM1-5,r1i1p1f1,ssp370,59.0,36.1,43.27,41.9,62.18,8.34,53.63,48.87
2052,ACCESS-ESM1-5,r1i1p1f1,ssp370,49.99,51.52,39.75,57.54,58.77,10.67,55.28,47.91
2053,ACCESS-ESM1-5,r1i1p1f1,ssp370,56.06,54.87,47.93,66.25,66.91,10.4,61.97,54.57
2054,ACCESS-ESM1-5,r1i1p1f1,ssp370,54.57,51.86,44.88,57.14,61.05,11.21,55.18,50.66
2055,ACCESS-ESM1-5,r1i1p1f1,ssp370,52.82,38.05,37.93,53.75,58.3,8.48,51.78,45.67
2056,ACCESS-ESM1-5,r1i1p1f1,ssp370,52.1,38.72,37.37,54.78,57.8,9.96,48.67,44.82
2057,ACCESS-ESM1-5,r1i1p1f1,ssp370,57.42,35.62,38.25,58.74,54.28,8.2,55.1,46.62
2058,ACCESS-ESM1-5,r1i1p1f1,ssp370,42.53,34.97,35.15,41.21,60.33,10.83,55.94,43.5
2059,ACCESS-ESM1-5,r1i1p1f1,ssp370,57.19,39.42,48.03,47.04,52.89,8.35,57.92,49.9
2060,ACCESS-ESM1-5,r1i1p1f1,ssp370,54.05,54.61,40.01,64.75,53.59,14.44,53.72,48.34
2061,ACCESS-ESM1-5,r1i1p1f1,ssp370,51.14,47.47,37.39,42.39,57.09,9.23,58.23,46.93
2062,ACCESS-ESM1-5,r1i1p1f1,ssp370,59.96,48.12,42.24,53.83,60.36,11.14,58.41,51.01
2063,ACCESS-ESM1-5,r1i1p1f1,ssp370,47.73,40.41,39.44,48.88,61.28,8.48,58.51,47.04
2064,ACCESS-ESM1-5,r1i1p1f1,ssp370,62.06,32.4,38.39,43.62,56.78,8.91,57.16,47.65
2065,ACCESS-ESM1-5,r1i1p1f1,ssp370,60.05,40.84,45.28,61.78,60.76,7.82,60.26,51.75
2066,ACCESS-ESM1-5,r1i1p1f1,ssp370,51.75,48.99,39.08,54.85,55.55,11.54,52.66,46.77
2067,ACCESS-ESM1-5,r1i1p1f1,ssp370,49.12,39.56,39.5,46.45,59.21,12.32,56.29,46.59
2068,ACCESS-ESM1-5,r1i1p1f1,ssp370,54.26,47.82,39.0,50.14,58.38,11.77,56.91,48.27
2069,ACCESS-ESM1-5,r1i1p1f1,ssp370,40.54,34.71,35.78,53.34,55.4,7.46,50.56,41.66
2070,ACCESS-ESM1-5,r1i1p1f1,ssp370,50.01,44.02,42.69,48.02,59.16,11.27,51.5,47.15
2071,ACCESS-ESM1-5,r1i1p1f1,ssp370,48.31,45.28,38.1,48.42,59.12,9.54,54.06,46.03
2072,ACCESS-ESM1-5,r1i1p1f1,ssp370,57.1,36.77,42.52,44.07,58.91,9.06,64.55,50.16
2073,ACCESS-ESM1-5,r1i1p1f1,ssp370,54.5,43.53,47.21,51.67,58.51,9.88,57.55,50.46
2074,ACCESS-ESM1-5,r1i1p1f1,ssp370,50.35,52.14,37.16,50.96,65.25,11.81,59.09,48.86
2075,ACCESS-ESM1-5,r1i1p1f1,ssp370,36.39,28.87,37.23,45.07,71.83,7.66,51.12,43.05
2076,ACCESS-ESM1-5,r1i1p1f1,ssp370,39.52,32.55,41.2,34.86,61.61,8.27,57.87,44.79
2077,ACCESS-ESM1-5,r1i1p1f1,ssp370,49.27,47.61,33.87,59.12,56.34,12.19,53.36,45.03
2078,ACCESS-ESM1-5,r1i1p1f1,ssp370,60.45,46.89,41.15,65.81,58.62,10.32,51.93,49.39
2079,ACCESS-ESM1-5,r1i1p1f1,ssp370,37.12,44.0,37.74,48.23,67.73,6.83,60.71,46.15
2080,ACCESS-ESM1-5,r1i1p1f1,ssp370,51.82,39.5,34.99,52.08,58.31,9.06,51.39,44.65
2081,ACCESS-ESM1-5,r1i1p1f1,ssp370,72.05,44.08,46.18,60.04,67.04,12.12,59.97,55.61
2082,ACCESS-ESM1-5,r1i1p1f1,ssp370,47.69,35.04,38.71,42.85,54.2,8.79,53.99,44.22
2083,ACCESS-ESM1-5,r1i1p1f1,ssp370,56.19,49.44,40.53,61.51,60.52,9.76,59.11,50.22
2084,ACCESS-ESM1-5,r1i1p1f1,ssp370,58.09,56.11,43.54,53.75,65.63,9.11,60.28,52.85
2085,ACCESS-ESM1-5,r1i1p1f1,ssp370,62.05,50.84,53.3,48.52,81.35,11.64,68.71,59.98
2086,ACCESS-ESM1-5,r1i1p1f1,ssp370,67.9,48.12,45.08,48.45,73.35,12.03,64.88,56.47
2087,ACCESS-ESM1-5,r1i1p1f1,ssp370,68.57,55.86,45.64,51.39,55.42,12.58,65.46,55.09
2088,ACCESS-ESM1-5,r1i1p1f1,ssp370,51.28,52.23,37.84,66.19,54.51,10.27,53.87,46.96
2089,ACCESS-ESM1-5,r1i1p1f1,ssp370,59.51,57.31,43.66,60.13,62.45,11.12,56.38,52.27
2090,ACCESS-ESM1-5,r1i1p1f1,ssp370,53.56,36.71,36.64,53.82,63.08,11.17,55.96,46.97
2091,ACCESS-ESM1-5,r1i1p1f1,ssp370,47.7,36.34,38.23,53.28,56.03,9.83,51.66,44.32
2092,ACCESS-ESM1-5,r1i1p1f1,ssp370,60.45,60.44,41.8,69.88,68.2,9.84,67.84,55.55
2093,ACCESS-ESM1-5,r1i1p1f1,ssp370,56.51,53.23,40.97,56.91,57.2,10.95,55.1,49.4
2094,ACCESS-ESM1-5,r1i1p1f1,ssp370,60.89,53.75,39.15,54.59,62.73,14.07,53.8,50.37
2095,ACCESS-ESM1-5,r1i1p1f1,ssp370,57.4,45.47,37.78,53.06,61.25,13.9,58.67,49.24
2096,ACCESS-ESM1-5,r1i1p1f1,ssp370,66.07,42.71,44.85,59.3,69.12,11.33,63.47,54.91
2097,ACCESS-ESM1-5,r1i1p1f1,ssp370,68.58,57.63,51.99,70.08,62.88,12.0,64.5,58.51
2098,ACCESS-ESM1-5,r1i1p1f1,ssp370,63.35,56.46,42.23,82.65,73.26,13.57,65.58,56.65
2099,ACCESS-ESM1-5,r1i1p1f1,ssp370,61.62,55.08,42.84,59.82,63.87,13.26,59.94,53.24
2100,ACCESS-ESM1-5,r1i1p1f1,ssp370,62.92,56.78,42.73,69.71,64.65,10.89,64.43,54.79
