year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
1984,ACCESS-ESM1-5,r1i1p1f1,historical,13.71,7.02,8.0,7.01,4.57,2.94,9.33,8.51
1984,ACCESS-ESM1-5,r2i1p1f1,historical,22.86,6.96,10.22,2.14,4.38,0.94,5.64,9.92
1985,ACCESS-ESM1-5,r1i1p1f1,historical,0.35,0.36,0.91,0.77,1.27,1.83,1.34,0.93
1985,ACCESS-ESM1-5,r2i1p1f1,historical,5.12,3.61,6.81,6.04,5.96,4.0,8.18,6.2
1986,ACCESS-ESM1-5,r1i1p1f1,historical,0.07,1.17,2.75,3.54,1.71,4.47,2.21,1.93
1986,ACCESS-ESM1-5,r2i1p1f1,historical,1.19,6.61,2.15,6.01,4.83,12.66,1.31,3.17
1987,ACCESS-ESM1-5,r1i1p1f1,historical,0.68,5.89,1.63,5.55,1.0,9.06,1.77,2.22
1987,ACCESS-ESM1-5,r2i1p1f1,historical,0.22,0.88,2.75,1.8,2.01,3.01,0.75,1.57
1988,ACCESS-ESM1-5,r1i1p1f1,historical,4.87,1.72,5.54,2.95,1.99,2.47,3.2,3.86
1988,ACCESS-ESM1-5,r2i1p1f1,historical,0.88,2.83,1.28,5.24,1.75,7.5,1.21,1.78
1989,ACCESS-ESM1-5,r1i1p1f1,historical,0.57,0.92,10.24,3.69,6.39,2.9,8.27,6.07
1989,ACCESS-ESM1-5,r2i1p1f1,historical,0.12,0.67,0.43,1.78,4.04,0.77,1.9,1.27
1990,ACCESS-ESM1-5,r1i1p1f1,historical,1.53,0.17,1.97,0.59,3.3,1.05,2.25,1.89
1990,ACCESS-ESM1-5,r2i1p1f1,historical,6.34,2.99,6.78,3.07,2.61,1.13,9.54,5.94
1991,ACCESS-ESM1-5,r1i1p1f1,historical,6.23,5.18,2.35,2.08,1.55,0.64,1.93,3.07
1991,ACCESS-ESM1-5,r2i1p1f1,historical,3.93,7.97,4.28,5.99,2.01,4.06,2.87,3.98
1992,ACCESS-ESM1-5,r1i1p1f1,historical,0.26,2.13,3.42,2.73,4.19,2.7,7.62,3.61
1992,ACCESS-ESM1-5,r2i1p1f1,historical,4.32,6.12,1.77,3.01,1.36,3.94,1.36,2.65
1993,ACCESS-ESM1-5,r1i1p1f1,historical,0.1,0.76,1.78,1.41,5.52,0.9,3.09,2.13
1993,ACCESS-ESM1-5,r2i1p1f1,historical,5.93,2.88,4.47,4.12,2.67,1.8,1.7,3.65
1994,ACCESS-ESM1-5,r1i1p1f1,historical,0.25,2.75,0.08,1.6,2.38,13.38,2.57,1.83
1994,ACCESS-ESM1-5,r2i1p1f1,historical,0.31,6.98,1.04,6.43,4.49,11.32,1.14,2.58
1995,ACCESS-ESM1-5,r1i1p1f1,historical,6.33,2.57,1.89,3.88,0.46,0.63,2.23,2.66
1995,ACCESS-ESM1-5,r2i1p1f1,historical,0.36,0.0,1.92,0.21,0.71,0.17,0.31,0.82
1996,ACCESS-ESM1-5,r1i1p1f1,historical,10.14,6.86,5.68,6.12,6.53,2.88,6.09,6.74
1996,ACCESS-ESM1-5,r2i1p1f1,historical,1.25,1.73,2.27,3.07,2.32,0.96,2.25,1.99
1997,ACCESS-ESM1-5,r1i1p1f1,historical,12.4,5.08,7.82,4.01,5.99,4.67,4.98,7.35
1997,ACCESS-ESM1-5,r2i1p1f1,historical,3.57,4.25,2.02,3.51,4.77,2.95,0.54,2.71
1998,ACCESS-ESM1-5,r1i1p1f1,historical,6.77,4.27,8.14,3.31,7.37,8.3,6.33,6.92
1998,ACCESS-ESM1-5,r2i1p1f1,historical,0.0,0.57,0.46,1.61,4.16,5.92,2.7,1.64
1999,ACCESS-ESM1-5,r1i1p1f1,historical,2.79,6.56,2.68,4.3,4.85,8.11,3.41,3.81
1999,ACCESS-ESM1-5,r2i1p1f1,historical,3.58,1.55,6.85,3.9,3.51,3.47,2.94,4.22
2000,ACCESS-ESM1-5,r1i1p1f1,historical,0.58,2.05,1.51,2.96,1.68,2.95,1.5,1.51
2000,ACCESS-ESM1-5,r2i1p1f1,historical,0.08,2.0,2.69,2.73,5.02,1.76,5.12,2.92
2001,ACCESS-ESM1-5,r1i1p1f1,historical,4.37,1.67,4.11,4.18,2.24,4.13,3.83,3.6
2001,ACCESS-ESM1-5,r2i1p1f1,historical,2.13,2.09,4.35,3.91,2.57,2.69,2.71,3.04
2002,ACCESS-ESM1-5,r1i1p1f1,historical,2.48,2.11,2.89,8.08,4.91,2.42,3.14,3.2
2002,ACCESS-ESM1-5,r2i1p1f1,historical,13.07,4.25,4.24,4.6,4.3,3.08,2.24,5.48
2003,ACCESS-ESM1-5,r1i1p1f1,historical,2.47,0.8,1.81,3.96,3.19,1.75,2.35,2.21
2003,ACCESS-ESM1-5,r2i1p1f1,historical,3.77,10.89,1.9,5.49,3.1,12.91,2.09,3.89
2004,ACCESS-ESM1-5,r1i1p1f1,historical,1.58,0.29,4.17,1.72,4.55,1.18,5.05,3.35
2004,ACCESS-ESM1-5,r2i1p1f1,historical,1.59,5.9,5.18,2.21,4.88,14.59,8.15,5.46
2005,ACCESS-ESM1-5,r1i1p1f1,historical,3.7,2.7,5.32,3.09,2.54,1.4,1.05,3.26
2005,ACCESS-ESM1-5,r2i1p1f1,historical,6.42,2.05,6.49,4.27,5.98,2.26,4.27,5.29
2006,ACCESS-ESM1-5,r1i1p1f1,historical,8.21,10.69,2.51,8.21,7.2,3.22,6.09,5.95
2006,ACCESS-ESM1-5,r2i1p1f1,historical,1.23,2.62,5.58,3.94,3.52,2.25,5.15,3.9
2007,ACCESS-ESM1-5,r1i1p1f1,historical,5.54,1.27,4.47,1.65,3.02,1.82,4.01,3.88
2007,ACCESS-ESM1-5,r2i1p1f1,historical,2.67,4.32,2.18,7.42,3.88,5.21,2.06,2.97
2008,ACCESS-ESM1-5,r1i1p1f1,historical,6.21,2.93,5.41,4.52,4.54,0.89,3.65,4.62
2008,ACCESS-ESM1-5,r2i1p1f1,historical,0.83,0.07,3.4,1.72,3.4,0.77,4.07,2.57
2009,ACCESS-ESM1-5,r1i1p1f1,historical,5.09,11.36,4.08,7.85,4.31,5.16,1.71,4.66
2009,ACCESS-ESM1-5,r2i1p1f1,historical,0.03,1.67,3.93,3.21,8.26,1.06,8.01,4.29
2010,ACCESS-ESM1-5,r1i1p1f1,historical,1.07,4.12,5.07,4.4,3.98,4.29,5.24,4.05
