year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
2026,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.02,0.87,2.91,5.98,4.09,0.74,4.38,2.62
2027,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.31,3.17,8.27,4.14,4.5,0.84,4.86,5.17
2028,ACCESS-ESM1-5,r1i1p1f1,ssp370,7.3,14.65,3.7,9.59,4.55,7.02,2.99,5.7
2029,ACCESS-ESM1-5,r1i1p1f1,ssp370,1.11,4.6,3.31,6.1,4.03,6.44,3.17,3.3
2030,ACCESS-ESM1-5,r1i1p1f1,ssp370,1.91,0.28,3.57,1.65,5.28,7.78,2.17,3.05
2031,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.75,1.76,4.29,1.0,1.25,1.07,2.66,2.95
2032,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.92,7.03,3.59,7.57,4.74,9.91,6.23,5.06
2033,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.14,0.51,4.52,2.45,8.41,3.45,2.66,3.4
2034,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.12,7.06,8.28,5.71,6.45,3.79,7.47,6.48
2035,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.94,2.07,4.68,3.17,4.02,3.56,2.6,3.12
2036,ACCESS-ESM1-5,r1i1p1f1,ssp370,5.38,1.31,4.19,2.6,8.67,2.09,9.02,5.64
2037,ACCESS-ESM1-5,r1i1p1f1,ssp370,5.15,11.63,3.33,9.02,6.3,14.41,3.68,5.6
2038,ACCESS-ESM1-5,r1i1p1f1,ssp370,18.04,14.08,7.04,10.63,4.38,8.27,8.05,9.76
2039,ACCESS-ESM1-5,r1i1p1f1,ssp370,12.44,9.63,4.74,7.37,3.18,8.64,4.65,6.66
2040,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.08,1.9,2.7,2.26,6.66,1.5,3.86,2.87
2041,ACCESS-ESM1-5,r1i1p1f1,ssp370,4.63,4.95,5.07,2.7,3.68,8.6,4.79,4.81
2042,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.2,2.65,2.63,6.95,6.98,18.97,4.65,4.05
2043,ACCESS-ESM1-5,r1i1p1f1,ssp370,2.74,0.86,5.53,1.34,8.08,10.62,4.41,4.82
2044,ACCESS-ESM1-5,r1i1p1f1,ssp370,4.83,8.1,6.93,3.53,6.97,8.35,6.3,6.49
2045,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.85,19.14,5.58,9.99,8.15,27.96,9.33,8.76
2046,ACCESS-ESM1-5,r1i1p1f1,ssp370,1.56,4.56,6.99,3.95,6.55,15.19,12.27,7.01
2047,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.59,2.74,6.39,6.97,8.06,31.82,6.43,6.33
2048,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.63,1.62,4.26,5.2,7.24,19.48,5.01,4.61
2049,ACCESS-ESM1-5,r1i1p1f1,ssp370,4.03,4.11,8.15,8.14,10.69,10.42,8.26,7.48
2050,ACCESS-ESM1-5,r1i1p1f1,ssp370,2.03,3.68,7.63,6.5,3.11,21.45,9.02,6.4
2051,ACCESS-ESM1-5,r1i1p1f1,ssp370,10.81,2.96,9.2,6.8,7.97,4.78,5.91,7.82
2052,ACCESS-ESM1-5,r1i1p1f1,ssp370,6.66,11.65,7.83,9.22,9.68,16.35,6.64,8.41
2053,ACCESS-ESM1-5,r1i1p1f1,ssp370,11.0,17.71,13.07,14.53,16.95,12.18,10.15,13.09
