year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
1986,ACCESS-ESM1-5,r1i1p1f1,historical,28.51,24.97,38.31,41.61,51.09,8.19,49.02,37.98
1986,ACCESS-ESM1-5,r2i1p1f1,historical,37.11,39.94,30.57,43.21,49.33,10.73,44.35,37.68
1987,ACCESS-ESM1-5,r1i1p1f1,historical,30.87,42.34,33.15,46.45,45.56,12.78,48.54,37.96
1987,ACCESS-ESM1-5,r2i1p1f1,historical,31.87,27.56,34.23,32.98,50.4,8.5,43.66,36.25
1988,ACCESS-ESM1-5,r1i1p1f1,historical,42.31,33.14,41.79,42.07,55.17,10.51,54.94,44.32
1988,ACCESS-ESM1-5,r2i1p1f1,historical,35.83,35.48,31.28,43.9,48.28,9.97,44.46,37.08
1989,ACCESS-ESM1-5,r1i1p1f1,historical,31.08,25.81,47.81,39.1,58.18,8.15,61.76,44.91
1989,ACCESS-ESM1-5,r2i1p1f1,historical,24.46,23.66,28.73,37.16,55.44,7.05,47.02,34.31
1990,ACCESS-ESM1-5,r1i1p1f1,historical,40.05,24.87,32.53,27.8,50.58,6.74,47.83,37.71
1990,ACCESS-ESM1-5,r2i1p1f1,historical,60.71,38.79,36.51,42.56,54.96,7.8,53.77,46.41
1991,ACCESS-ESM1-5,r1i1p1f1,historical,48.77,42.59,34.64,34.4,45.92,5.81,46.38,40.81
1991,ACCESS-ESM1-5,r2i1p1f1,historical,45.94,38.01,34.82,43.5,49.72,8.79,49.67,41.49
1992,ACCESS-ESM1-5,r1i1p1f1,historical,30.22,34.99,37.89,35.79,49.45,8.02,57.08,40.35
1992,ACCESS-ESM1-5,r2i1p1f1,historical,37.99,37.39,35.19,36.94,44.89,9.57,46.14,38.47
1993,ACCESS-ESM1-5,r1i1p1f1,historical,21.98,26.69,33.86,38.87,53.93,6.52,49.39,35.92
1993,ACCESS-ESM1-5,r2i1p1f1,historical,44.66,30.72,40.82,41.88,50.64,7.61,46.53,41.76
